Price,new_car_price,overview_Fuel type,Manufacturing Year,Brand,Model,Varient,Kilometer,ownership,Transmission,Insurance,Registration_Type,City,Engine(cc),Max_Power(bhp),Mileage,Emission_Standard,Seating_Capacity,Fuel_Tank_Capcity,Safety_Score,Sunroof,Praking_Sensors,Keyless_Start,GPS_Navigation,ADAS,Automatic_Emergency_Braking,Driving_Range,Regenerative_Braking,CNG_Capacity,Supercharger,Four_Wheel_Drive
700000.0,3381000.0,Diesel,2014,Audi,A4,"['2.0', 'TDI', '(143bhp)']",100000.0,3,Automatic,0,Individual,Ahmedabad,1968.0,141.0,16.55,Not Applicable,5,63.0,1.971528175349786,0,0,0,0,0,0,0.0,0,0.0,0,0
1499000.0,5832000.0,Diesel,2016,Audi,A4,"['35', 'TDI', 'Premium', 'Sport', '+', 'Sunroof']",65000.0,1,Automatic,1,Individual,Ahmedabad,1968.0,177.0,17.11,Not Applicable,5,63.0,1.7034304767949882,1,1,0,0,0,0,0.0,0,0.0,1,0
1100000.0,4340000.0,Diesel,2015,Audi,A4,"['2.0', 'TDI', '(177bhp)', 'Premium', 'Plus']",75000.0,1,Automatic,1,Individual,Ahmedabad,1968.0,177.0,17.11,Not Applicable,5,63.0,1.971528175349786,1,0,0,0,0,0,0.0,0,0.0,0,0
1050000.0,5832000.0,Petrol,2009,Audi,A4,"['1.8', 'TFSI']",51000.0,2,Automatic,0,Individual,Ahmedabad,1798.0,161.0,8.96,Not Applicable,5,70.0,1.1757851448580747,1,0,0,0,0,0,0.0,0,0.0,0,0
4700000.0,5852000.0,Petrol,2020,Audi,A3,"['35', 'TFSI']",42174.0,1,Automatic,1,Individual,Ahmedabad,1395.0,148.0,19.2,BS 4,4,50.0,4.3637757512807545,0,1,0,0,0,0,0.0,0,0.0,1,0
1800000.0,5277000.0,Diesel,2017,Audi,A4,"['35', 'TDI', 'Technology']",52412.0,1,Automatic,1,Individual,Ahmedabad,1968.0,188.0,17.84,BS 4,5,54.0,7.0241210257665205,1,1,0,1,0,0,0.0,0,0.0,1,0
600000.0,5832000.0,Petrol,2011,Audi,A4,"['1.8', 'TFSI']",122000.0,2,Automatic,0,Individual,Ahmedabad,1798.0,161.0,8.96,Not Applicable,5,70.0,1.1757851448580747,1,0,0,0,0,0,0.0,0,0.0,0,0
700000.0,4604000.0,Diesel,2015,Audi,A4,"['35', 'TDI', 'Premium']",147000.0,2,Automatic,1,Individual,Ahmedabad,1968.0,177.0,17.11,Not Applicable,5,63.0,1.7034304767949882,0,1,0,0,0,0,0.0,0,0.0,1,0
2950000.0,5755000.0,Petrol,2021,Audi,A4,"['Premium', 'Plus', '40', 'TFSI', '[2021-2024]']",53000.0,1,Automatic,0,Individual,Ahmedabad,1984.0,201.0,17.4,BS 6,5,54.0,7.0241210257665205,1,1,0,0,0,0,941.0,0,0.0,1,0
3300000.0,6196000.0,Petrol,2023,Audi,A4,"['Technology', '40', 'TFSI', '[2022-2024]']",33000.0,1,Automatic,1,Individual,Ahmedabad,1984.0,201.0,17.4,BS 6,5,54.0,7.0241210257665205,1,1,0,1,0,0,941.0,0,0.0,1,0
749000.0,4340000.0,Diesel,2015,Audi,A4,"['2.0', 'TDI', '(177bhp)', 'Premium', 'Plus']",95000.0,1,Automatic,0,Individual,Ahmedabad,1968.0,177.0,17.11,Not Applicable,5,63.0,1.971528175349786,1,0,0,0,0,0,0.0,0,0.0,0,0
1090000.0,4340000.0,Diesel,2015,Audi,A4,"['2.0', 'TDI', '(177bhp)', 'Premium', 'Plus']",126000.0,2,Automatic,0,Individual,Ahmedabad,1968.0,177.0,17.11,Not Applicable,5,63.0,1.971528175349786,1,0,0,0,0,0,0.0,0,0.0,0,0
3700000.0,5701000.0,Petrol,2025,Audi,A4,"['Premium', 'Plus', '40', 'TFSI']",14000.0,1,Automatic,1,Individual,Ahmedabad,1984.0,201.0,17.4,BS 6,5,54.0,7.0241210257665205,0,1,0,0,0,0,941.0,0,0.0,1,0
2800000.0,5230000.0,Petrol,2022,Audi,A4,"['Premium', '40', 'TFSI', '[2021-2024]']",43000.0,1,Automatic,0,Individual,Ahmedabad,1984.0,201.0,17.4,BS 6,5,54.0,7.0241210257665205,1,1,0,0,0,0,941.0,0,0.0,1,0
3200000.0,6196000.0,Petrol,2023,Audi,A4,"['Technology', '40', 'TFSI', '[2022-2024]']",33000.0,1,Automatic,1,Individual,Ahmedabad,1984.0,201.0,17.4,BS 6,5,54.0,7.0241210257665205,1,1,0,1,0,0,941.0,0,0.0,1,0
1399000.0,5277000.0,Diesel,2017,Audi,A4,"['35', 'TDI', 'Technology']",70000.0,1,Automatic,1,Individual,Ahmedabad,1968.0,188.0,17.84,BS 4,5,54.0,7.0241210257665205,1,1,0,1,0,0,0.0,0,0.0,1,0
990000.0,5832000.0,Diesel,2015,Audi,A4,"['2.0', 'TDI', '(177bhp)', 'Premium', 'Plus']",71000.0,1,Automatic,0,Individual,Ahmedabad,1968.0,177.0,17.11,Not Applicable,5,63.0,1.971528175349786,1,0,0,0,0,0,0.0,0,0.0,0,0
999000.0,4340000.0,Diesel,2015,Audi,A4,"['2.0', 'TDI', '(177bhp)', 'Premium', 'Plus']",71500.0,1,Automatic,0,Individual,Ahmedabad,1968.0,177.0,17.11,Not Applicable,5,63.0,1.971528175349786,1,0,0,0,0,0,0.0,0,0.0,0,0
2300000.0,4879000.0,Diesel,2019,Audi,A4,"['35', 'TDI', 'Premium', 'Plus']",58000.0,1,Automatic,0,Individual,Ahmedabad,1968.0,188.0,17.84,BS 4,5,54.0,7.0241210257665205,1,1,0,1,0,0,0.0,0,0.0,1,0
799000.0,5832000.0,Petrol,2014,Audi,A4,"['1.8', 'TFSI', 'Multitronic', 'Premium', 'Plus']",32000.0,1,Automatic,0,Individual,Ahmedabad,1798.0,170.0,18.78,Not Applicable,5,63.0,1.971528175349786,1,0,0,0,0,0,0.0,0,0.0,0,0
1575000.0,5432000.0,Diesel,2015,Audi,A6,"['2.0', 'TDI', 'Premium', 'Plus']",68000.0,2,Automatic,0,Individual,Ahmedabad,1968.0,177.0,16.66,Not Applicable,5,65.0,2.0189641765427018,1,0,1,0,0,0,0.0,0,0.0,1,0
2200000.0,5277000.0,Diesel,2017,Audi,A4,"['35', 'TDI', 'Technology']",45000.0,1,Automatic,1,Individual,Ahmedabad,1968.0,188.0,17.84,BS 4,5,54.0,7.0241210257665205,1,1,0,1,0,0,0.0,0,0.0,1,0
1250000.0,5728000.0,Diesel,2015,Audi,A6,"['35', 'TDI', 'Matrix']",110000.0,2,Automatic,0,Individual,Ahmedabad,1968.0,190.0,16.66,Not Applicable,5,75.0,1.7034304767949882,1,1,1,0,0,0,0.0,0,0.0,1,0
2975000.0,7763000.0,Petrol,2020,Audi,A6,"['Technology', '45', 'TFSI', '[2019-2024]']",38000.0,1,Automatic,1,Individual,Ahmedabad,1984.0,261.0,14.0,BS 6,5,73.0,5.250557509442676,1,1,1,1,0,0,1022.0,0,0.0,1,0
800000.0,5832000.0,Diesel,2011,Audi,A6,"['2.7', 'TDI']",61000.0,1,Automatic,1,Individual,Ahmedabad,2698.0,180.0,11.86,Not Applicable,5,70.0,1.1757851448580747,1,0,0,0,0,0,0.0,0,0.0,0,0
2951000.0,7763000.0,Petrol,2020,Audi,A6,"['Technology', '45', 'TFSI', '[2019-2024]']",38897.0,1,Automatic,0,Individual,Ahmedabad,1984.0,261.0,14.0,BS 6,5,73.0,5.250557509442676,1,1,1,1,0,0,1022.0,0,0.0,1,0
2000000.0,5728000.0,Diesel,2019,Audi,A6,"['35', 'TDI', 'Matrix']",80000.0,1,Automatic,1,Individual,Ahmedabad,1968.0,190.0,16.66,Not Applicable,5,75.0,1.7034304767949882,1,1,1,0,0,0,0.0,0,0.0,1,0
3750000.0,7763000.0,Petrol,2021,Audi,A6,"['Technology', '45', 'TFSI', '[2019-2024]']",31577.0,1,Automatic,1,Individual,Ahmedabad,1984.0,261.0,14.0,BS 6,5,73.0,5.250557509442676,1,1,1,1,0,0,1022.0,0,0.0,1,0
1090000.0,5832000.0,Diesel,2013,Audi,A6,"['2.0', 'TDI', 'Premium', 'Plus']",78000.0,2,Automatic,0,Individual,Ahmedabad,1968.0,177.0,16.66,Not Applicable,5,65.0,2.0189641765427018,1,0,1,0,0,0,0.0,0,0.0,1,0
1000000.0,5483000.0,Diesel,2014,Audi,A6,"['35', 'TDI', 'Premium']",108000.0,1,Automatic,0,Individual,Ahmedabad,1968.0,177.0,16.66,Not Applicable,5,65.0,2.0189641765427018,1,1,1,0,0,0,0.0,0,0.0,1,0
1400000.0,5483000.0,Diesel,2015,Audi,A6,"['35', 'TDI', 'Premium']",95000.0,1,Automatic,1,Individual,Ahmedabad,1968.0,177.0,16.66,Not Applicable,5,65.0,2.0189641765427018,1,1,1,0,0,0,0.0,0,0.0,1,0
1150000.0,4885000.0,Diesel,2013,Audi,A6,"['2.0', 'TDI', 'Premium']",38000.0,1,Automatic,0,Individual,Ahmedabad,1968.0,177.0,16.66,Not Applicable,5,65.0,1.971528175349786,1,0,1,0,0,0,0.0,0,0.0,0,0
1190000.0,5841000.0,Petrol,2016,Audi,A6,"['35', 'TFSI']",97000.0,2,Automatic,1,Individual,Ahmedabad,1798.0,190.0,16.66,Not Applicable,5,75.0,1.7034304767949882,1,1,1,0,0,0,0.0,0,0.0,1,0
3950000.0,7763000.0,Petrol,2023,Audi,A6,"['Technology', '45', 'TFSI', '[2019-2024]']",83781.0,1,Automatic,0,Individual,Ahmedabad,1984.0,261.0,14.0,BS 6,5,73.0,5.250557509442676,1,1,1,1,0,0,1022.0,0,0.0,1,0
1750000.0,5728000.0,Diesel,2017,Audi,A6,"['35', 'TDI', 'Matrix']",72700.0,1,Automatic,0,Individual,Ahmedabad,1968.0,190.0,16.66,Not Applicable,5,75.0,1.7034304767949882,1,1,1,0,0,0,0.0,0,0.0,1,0
3300000.0,7068000.000000001,Petrol,2022,Audi,A6,"['Premium', 'Plus', '45', 'TFSI', '[2019-2024]']",35770.0,2,Automatic,0,Individual,Ahmedabad,1984.0,261.0,14.0,BS 6,5,73.0,5.250557509442676,1,1,1,1,0,0,1022.0,0,0.0,1,0
2250000.0,4672000.0,Petrol,2021,Audi,Q2,"['Premium', '40', 'TFSI', 'quattro']",60000.0,1,Automatic,1,Individual,Ahmedabad,1984.0,188.0,15.3,BS 6,5,55.0,4.8836216556129095,1,1,1,1,0,0,846.0,0,0.0,1,1
1895000.0,4672000.0,Petrol,2020,Audi,Q2,"['Premium', '40', 'TFSI', 'quattro']",24000.0,2,Automatic,0,Individual,Ahmedabad,1984.0,188.0,15.3,BS 6,5,55.0,4.8836216556129095,1,1,1,1,0,0,846.0,0,0.0,1,1
2100000.0,12600000.0,Diesel,2012,Audi,A8,"['L', '3.0', 'TDI', 'quattro']",32500.0,1,Automatic,1,Individual,Ahmedabad,2967.0,247.0,15.5,Not Applicable,4,90.0,1.971528175349786,1,0,1,1,0,0,0.0,0,0.0,0,0
