Price,new_car_price,overview_Fuel type,spec_Top Speed,spec_Emission Standard,spec_Seating Capacity,spec_Bootspace,spec_Fuel Tank Capacity,spec_Airbags,spec_Anti-Lock Braking System (ABS),spec_Electronic Stability Program (ESP),spec_Brake Assist (BA),spec_Electronic Brake-force Distribution (EBD),spec_Traction Control System (TC/TCS),spec_Hill Hold Control,spec_Hill Descent Control,spec_Child Safety Lock,spec_Child Seat Anchor Points,spec_Engine Immobiliser,spec_Central Locking,spec_Sunroof,spec_Parking Sensors,spec_Keyless Start/ Button Start,spec_GPS Navigation System,spec_ADAS,spec_Automatic Emergency Braking,spec_Vehicle Warranty,spec_Battery,spec_Driving Range,spec_Battery Warranty,spec_DC Fast Charging,spec_AC Fast Charging,spec_AC Regular Charging,spec_Regenerative Braking,spec_CNG Tank Capacity (L/Kg),spec_Turbocharger/ Supercharger,spec_Four-Wheel-Drive,Manufacturing Year,Brand,Model,Varient,Kilometer,ownership,Transmission,Insurance,Registration_Type,City,Engine(cc),Max_Power(bhp),Mileage
3700000.0,5701000.0,Petrol,241 kmph,BS6 Phase 2,5 Seats and 2 Rows,,54 litres,"8 Airbags (Driver, Front Passenger, 2 Curtain, Driver Side, Front Passenger Side, 2 Rear Passenger Side)",Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Keyless,-,Rear,No,No,,No,Not Applicable,Not Applicable,941 km,Not Applicable,,,,No,,Turbocharged (Variable Geometry),No,2025,Audi,A4,"['Premium', 'Plus', '40', 'TFSI']",14000.0,1,Automatic,Yes,Individual,Ahmedabad,1984 ,201,17.4 kmpl
2800000.0,5230000.0,Petrol,241 kmph,BS 6,5 Seats and 2 Rows,,54 litres,"8 Airbags (Driver, Front Passenger, 2 Curtain, Driver Side, Front Passenger Side, 2 Rear Passenger Side)",Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Keyless,Electrically Adjustable Sunroof,Rear,No,No,,No,Not Applicable,Not Applicable,941 km,Not Applicable,,,,No,,Turbocharged (Variable Geometry),No,2022,Audi,A4,"['Premium', '40', 'TFSI', '[2021-2024]']",43000.0,1,Automatic,No,Individual,Ahmedabad,1984 ,201,17.4 kmpl
3200000.0,6196000.0,Petrol,241 kmph,BS 6,5 Seats and 2 Rows,,54 litres,"8 Airbags (Driver, Front Passenger, 2 Curtain, Driver Side, Front Passenger Side, 2 Rear Passenger Side)",Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Keyless,Electrically Adjustable Sunroof,Rear,No,Yes,,No,Not Applicable,Not Applicable,941 km,Not Applicable,,,,No,,Turbocharged (Variable Geometry),No,2023,Audi,A4,"['Technology', '40', 'TFSI', '[2022-2024]']",33000.0,1,Automatic,Yes,Individual,Ahmedabad,1984 ,201,17.4 kmpl
1399000.0,5277000.0,Diesel,,BS 4,5 Seats and 2 Rows,,54 litres,"8 Airbags (Driver, Front Passenger, 2 Curtain, Driver Side, Front Passenger Side, 2 Rear Passenger Side)",Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Remote,Electrically Adjustable Sunroof,Rear,No,Yes,,,Not Applicable,,,,,,,,,Turbocharged (Variable Geometry),No,2017,Audi,A4,"['35', 'TDI', 'Technology']",70000.0,1,Automatic,Yes,Individual,Ahmedabad,1968 ,188,17.84 kmpl
990000.0,,Diesel,,,5 Seats and 2 Rows,480 L,63 litres,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Remote,Electrically Adjustable Sunroof,,No,No,,,Not Applicable,,,,,,,,,,,2015,Audi,A4,"['2.0', 'TDI', '(177bhp)', 'Premium', 'Plus']",71000.0,,Automatic,No,Not Available,Ahmedabad,1968 ,177,17.11 kmpl
999000.0,4340000.0,Diesel,,,5 Seats and 2 Rows,480 L,63 litres,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Remote,Electrically Adjustable Sunroof,,No,No,,,Not Applicable,,,,,,,,,,,2015,Audi,A4,"['2.0', 'TDI', '(177bhp)', 'Premium', 'Plus']",71500.0,1,Automatic,No,Individual,Ahmedabad,1968 ,177,17.11 kmpl
2300000.0,4879000.0,Diesel,,BS 4,5 Seats and 2 Rows,,54 litres,"8 Airbags (Driver, Front Passenger, 2 Curtain, Driver Side, Front Passenger Side, 2 Rear Passenger Side)",Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Remote,Electrically Adjustable Sunroof,Rear,No,Yes,,,Not Applicable,,,,,,,,,Turbocharged (Variable Geometry),No,2019,Audi,A4,"['35', 'TDI', 'Premium', 'Plus']",58000.0,1,Automatic,No,Individual,Ahmedabad,1968 ,188,17.84 kmpl
799000.0,,Petrol,,,5 Seats and 2 Rows,480 L,63 litres,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Remote,Electrically Adjustable Sunroof,,No,No,,,Not Applicable,,,,,,,,,,,2014,Audi,A4,"['1.8', 'TFSI', 'Multitronic', 'Premium', 'Plus']",32000.0,1,Automatic,No,Individual,Ahmedabad,1798 ,170,18.78 kmpl
1575000.0,5432000.0,Diesel,,,5 Seats and 2 Rows,530 L,65 litres,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Remote Central Locking with Boot Opener,Electrically Adjustable Sunroof,,Yes,No,,,Not Applicable,,,,,,,,,Turbocharged (Variable Geometry),No,2015,Audi,A6,"['2.0', 'TDI', 'Premium', 'Plus']",68000.0,2,Automatic,No,Individual,Ahmedabad,1968 ,177,16.66 kmpl
2200000.0,5277000.0,Diesel,,BS 4,5 Seats and 2 Rows,,54 litres,"8 Airbags (Driver, Front Passenger, 2 Curtain, Driver Side, Front Passenger Side, 2 Rear Passenger Side)",Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Remote,Electrically Adjustable Sunroof,Rear,No,Yes,,,Not Applicable,,,,,,,,,Turbocharged (Variable Geometry),No,2017,Audi,A4,"['35', 'TDI', 'Technology']",45000.0,1,Automatic,Yes,Individual,Ahmedabad,1968 ,188,17.84 kmpl
1250000.0,5728000.0,Diesel,,,5 Seats and 2 Rows,530 L,75 litres,,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Remote Central Locking with Boot Opener,Electrically Adjustable Sunroof,Front & Rear,Yes,No,,,Not Applicable,,,,,,,,,Turbocharged (Variable Geometry),No,2015,Audi,A6,"['35', 'TDI', 'Matrix']",110000.0,2,Automatic,No,Individual,Ahmedabad,1968 ,190,16.66 kmpl
2975000.0,7763000.0,Petrol,250 kmph,BS 6,5 Seats and 2 Rows,,73 litres,"6 Airbags (Driver, Front Passenger, 2 Curtain, Driver Side, Front Passenger Side)",Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Keyless,Panoramic Sunroof,Front & Rear,Yes,Yes,,No,Not Applicable,Not Applicable,1022 km,Not Applicable,,,,No,,Turbocharged (Variable Geometry),No,2020,Audi,A6,"['Technology', '45', 'TFSI', '[2019-2024]']",38000.0,1,Automatic,Yes,Individual,Ahmedabad,1984 ,261,14 kmpl
800000.0,,Diesel,,,5 Seats and 2 Rows,,70 litres,,Yes,,,,,,,Yes,,Yes,Yes,Electrically Adjustable Sunroof,,,,,,,,,,,,,,,,,2011,Audi,A6,"['2.7', 'TDI']",61000.0,1,Automatic,Yes,Individual,Ahmedabad,2698 ,180,11.86 kmpl
2951000.0,7763000.0,Petrol,250 kmph,BS 6,5 Seats and 2 Rows,,73 litres,"6 Airbags (Driver, Front Passenger, 2 Curtain, Driver Side, Front Passenger Side)",Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Keyless,Panoramic Sunroof,Front & Rear,Yes,Yes,,No,Not Applicable,Not Applicable,1022 km,Not Applicable,,,,No,,Turbocharged (Variable Geometry),No,2020,Audi,A6,"['Technology', '45', 'TFSI', '[2019-2024]']",38897.0,1,Automatic,No,Individual,Ahmedabad,1984 ,261,14 kmpl
2000000.0,5728000.0,Diesel,,,5 Seats and 2 Rows,530 L,75 litres,,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Remote Central Locking with Boot Opener,Electrically Adjustable Sunroof,Front & Rear,Yes,No,,,Not Applicable,,,,,,,,,Turbocharged (Variable Geometry),No,2019,Audi,A6,"['35', 'TDI', 'Matrix']",80000.0,1,Automatic,Yes,Individual,Ahmedabad,1968 ,190,16.66 kmpl
3750000.0,7763000.0,Petrol,250 kmph,BS 6,5 Seats and 2 Rows,,73 litres,"6 Airbags (Driver, Front Passenger, 2 Curtain, Driver Side, Front Passenger Side)",Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Keyless,Panoramic Sunroof,Front & Rear,Yes,Yes,,No,Not Applicable,Not Applicable,1022 km,Not Applicable,,,,No,,Turbocharged (Variable Geometry),No,2021,Audi,A6,"['Technology', '45', 'TFSI', '[2019-2024]']",31577.0,1,Automatic,Yes,Individual,Ahmedabad,1984 ,261,14 kmpl
1090000.0,,Diesel,,,5 Seats and 2 Rows,530 L,65 litres,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Remote Central Locking with Boot Opener,Electrically Adjustable Sunroof,,Yes,No,,,Not Applicable,,,,,,,,,Turbocharged (Variable Geometry),No,2013,Audi,A6,"['2.0', 'TDI', 'Premium', 'Plus']",78000.0,2,Automatic,No,Individual,Ahmedabad,1968 ,177,16.66 kmpl
1000000.0,5483000.0,Diesel,,,5 Seats and 2 Rows,530 L,65 litres,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Remote Central Locking with Boot Opener,Electrically Adjustable Sunroof,Front & Rear,Yes,No,,,Not Applicable,,,,,,,,,Turbocharged (Variable Geometry),No,2014,Audi,A6,"['35', 'TDI', 'Premium']",108000.0,1,Automatic,No,Individual,Ahmedabad,1968 ,177,16.66 kmpl
1400000.0,5483000.0,Diesel,,,5 Seats and 2 Rows,530 L,65 litres,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Remote Central Locking with Boot Opener,Electrically Adjustable Sunroof,Front & Rear,Yes,No,,,Not Applicable,,,,,,,,,Turbocharged (Variable Geometry),No,2015,Audi,A6,"['35', 'TDI', 'Premium']",95000.0,1,Automatic,Yes,Individual,Ahmedabad,1968 ,177,16.66 kmpl
1150000.0,4885000.0,Diesel,,,5 Seats and 2 Rows,530 L,65 litres,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Remote Central Locking with Boot Opener,Electrically Adjustable Sunroof,,Yes,No,,,Not Applicable,,,,,,,,,,,2013,Audi,A6,"['2.0', 'TDI', 'Premium']",38000.0,1,Automatic,No,Individual,Ahmedabad,1968 ,177,16.66 kmpl
1190000.0,5841000.0,Petrol,,,5 Seats and 2 Rows,530 L,75 litres,,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Remote Central Locking with Boot Opener,Electrically Adjustable Sunroof,Front & Rear,Yes,No,,,Not Applicable,,,,,,,,,Turbocharged (Variable Geometry),No,2016,Audi,A6,"['35', 'TFSI']",97000.0,2,Automatic,Yes,Individual,Ahmedabad,1798 ,190,
3950000.0,7763000.0,Petrol,250 kmph,BS 6,5 Seats and 2 Rows,,73 litres,"6 Airbags (Driver, Front Passenger, 2 Curtain, Driver Side, Front Passenger Side)",Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Keyless,Panoramic Sunroof,Front & Rear,Yes,Yes,,No,Not Applicable,Not Applicable,1022 km,Not Applicable,,,,No,,Turbocharged (Variable Geometry),No,2023,Audi,A6,"['Technology', '45', 'TFSI', '[2019-2024]']",83781.0,1,Automatic,No,Individual,Ahmedabad,1984 ,261,14 kmpl
1750000.0,5728000.0,Diesel,,,5 Seats and 2 Rows,530 L,75 litres,,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Remote Central Locking with Boot Opener,Electrically Adjustable Sunroof,Front & Rear,Yes,No,,,Not Applicable,,,,,,,,,Turbocharged (Variable Geometry),No,2017,Audi,A6,"['35', 'TDI', 'Matrix']",72700.0,1,Automatic,No,Not Available,Ahmedabad,1968 ,190,16.66 kmpl
